Event ID,FinalRank,Name,PDGANumber,Rating
48338,,Geoff Hungerford,688,953
48172,,Jerry Goff,2431,970
48121,,George Smith,4034,977
47446,,Egil Sætren,4322,972
48172,,Steven Rico,4666,1031
48338,,Jon Drummond,7350,974
48567,,Avery Jenkins,7495,1004
48338,,Brad Schick,7992,1013
48121,,Simon Lizotte,8332,1035
48172,,Simon Lizotte,8332,1035
49214,,Simon Lizotte,8332,1035
47446,,Maxime Tanghe,8399,1011
47446,,Lars Jaeger,8439,970
47888,29,JohnE McCray,9852,1026
48567,,JohnE McCray,9852,1026
48685,29,JohnE McCray,9852,1026
48172,,Ray Johnson,10355,1003
48172,,Myles Harding,10466,956
47446,,Nikko Locastro,11534,1030
47835,,Nikko Locastro,11534,1030
47888,29,Nikko Locastro,11534,1030
47981,,Nikko Locastro,11534,1030
48112,,Nikko Locastro,11534,1030
48119,,Nikko Locastro,11534,1030
48121,,Nikko Locastro,11534,1030
48172,,Nikko Locastro,11534,1030
48283,,Nikko Locastro,11534,1030
48338,,Nikko Locastro,11534,1030
48567,,Nikko Locastro,11534,1030
48685,1,Nikko Locastro,11534,1030
48688,,Nikko Locastro,11534,1030
49214,,Nikko Locastro,11534,1030
48119,,Justin McLuen,12468,989
48567,,Justin McLuen,12468,989
48685,108,Justin McLuen,12468,989
48338,,David Feldberg,12626,1023
48567,,David Feldberg,12626,1023
48685,81,David Feldberg,12626,1023
47446,,Garrett Gurthie,13864,1036
47877,4,Garrett Gurthie,13864,1035
47888,29,Garrett Gurthie,13864,1036
47981,,Garrett Gurthie,13864,1036
48119,,Garrett Gurthie,13864,1036
48172,,Garrett Gurthie,13864,1036
48283,,Garrett Gurthie,13864,1036
48338,,Garrett Gurthie,13864,1036
48567,,Garrett Gurthie,13864,1036
48685,25,Garrett Gurthie,13864,1036
48688,,Garrett Gurthie,13864,1036
49214,,Garrett Gurthie,13864,1036
47877,86,Chris Brooks,13978,964
47888,67,Chris Brooks,13978,970
48567,,Chris Brooks,13978,970
48685,122,Chris Brooks,13978,970
48685,70,Travis Powell,14055,989
48172,,Kenny Lee,14204,977
48121,,James Fleege,15789,970
47446,,Gregg Barsby,15857,1020
47877,64,Gregg Barsby,15857,1022
47981,,Gregg Barsby,15857,1020
48119,,Gregg Barsby,15857,1020
48172,,Gregg Barsby,15857,1020
48338,,Gregg Barsby,15857,1020
48685,78,Gregg Barsby,15857,1020
48686,,Gregg Barsby,15857,1020
48685,81,Jay Yeti Reading,15864,992
48686,,Andrew Wade,16039,995
48338,,Tyler Horne,16058,1000
48121,,Chris Sprague,16425,978
47888,105,Mark McAlister,16672,961
48119,,Mark McAlister,16672,961
47446,,James Conrad,17295,1030
47877,11,James Conrad,17295,1029
47981,,James Conrad,17295,1030
48112,,James Conrad,17295,1030
48119,,James Conrad,17295,1030
48121,,James Conrad,17295,1030
48172,,James Conrad,17295,1030
48338,,James Conrad,17295,1030
48567,,James Conrad,17295,1030
48685,34,James Conrad,17295,1030
48688,,James Conrad,17295,1030
49214,,James Conrad,17295,1030
48112,,James Mosier,17591,977
48338,,James Mosier,17591,977
47981,,Joshua Anthon,17946,1040
48172,,Joshua Anthon,17946,1040
48283,,Joshua Anthon,17946,1040
47981,,Matthew Orum,18330,1034
48567,,Matthew Orum,18330,1034
48685,21,Matthew Orum,18330,1034
47877,17,Nathan Sexton,18824,1042
47981,,Nathan Sexton,18824,1037
48172,,Nathan Sexton,18824,1037
48686,,Nathan Sexton,18824,1037
47877,64,Cary Trotter,19147,995
47877,117,Sean Kapalko,19453,986
48685,81,J.D. Ramirez,19857,992
48172,,Joshua Sappenfield,20214,978
48121,,Michael Johansen,20300,1028
48338,,Michael Johansen,20300,1028
48567,,Michael Johansen,20300,1028
47888,78,Jimmy Zamora,20375,970
47877,39,Justin Bunnell,20827,1013
48567,,Justin Bunnell,20827,1018
48283,,Max Nichols,21870,992
48685,60,Max Nichols,21870,992
48172,,Robert R. Bainbridge,22110,991
47888,61,Timothy Escobedo Jr,22698,1011
48685,54,Timothy Escobedo Jr,22698,1011
47877,120,Jake Schlagheck,23143,983
48685,130,Jake Schlagheck,23143,977
48172,,Jason Coultrap,23236,988
47446,,John Willis II,23844,993
47835,,John Willis II,23844,993
47877,73,John Willis II,23844,993
47888,82,John Willis II,23844,993
47981,,John Willis II,23844,993
48112,,John Willis II,23844,993
48119,,John Willis II,23844,993
